Art,Arthela,Year,Measure,ts,Series
187,Koltrast,2013,0.8909,2013-01-01T00:00:00Z,Sommar
187,Koltrast,2014,0.9713,2014-01-01T00:00:00Z,Sommar
187,Koltrast,1998,1,1998-01-01T00:00:00Z,Standard
187,Koltrast,1999,1.0714,1999-01-01T00:00:00Z,Standard
187,Koltrast,2000,1.101,2000-01-01T00:00:00Z,Standard
187,Koltrast,2001,1.2955,2001-01-01T00:00:00Z,Standard
187,Koltrast,2002,1.3418,2002-01-01T00:00:00Z,Standard
187,Koltrast,2003,1.3478,2003-01-01T00:00:00Z,Standard
187,Koltrast,2004,1.282,2004-01-01T00:00:00Z,Standard
187,Koltrast,2005,1.4398,2005-01-01T00:00:00Z,Standard
187,Koltrast,2006,1.3463,2006-01-01T00:00:00Z,Standard
187,Koltrast,2007,1.4156,2007-01-01T00:00:00Z,Standard
187,Koltrast,2008,1.3816,2008-01-01T00:00:00Z,Standard
187,Koltrast,2009,1.4489,2009-01-01T00:00:00Z,Standard
187,Koltrast,2010,1.4581,2010-01-01T00:00:00Z,Standard
187,Koltrast,2011,1.1852,2011-01-01T00:00:00Z,Standard
187,Koltrast,2012,1.3481,2012-01-01T00:00:00Z,Standard
187,Koltrast,2013,1.2154,2013-01-01T00:00:00Z,Standard
187,Koltrast,2014,1.2385,2014-01-01T00:00:00Z,Standard
187,Koltrast,2010,1,2010-01-01T00:00:00Z,Natt
187,Koltrast,2011,0.8565,2011-01-01T00:00:00Z,Natt
187,Koltrast,2012,1.1393,2012-01-01T00:00:00Z,Natt
187,Koltrast,2013,0.8615,2013-01-01T00:00:00Z,Natt
187,Koltrast,2014,1.0677,2014-01-01T00:00:00Z,Natt
